id,tanggal,total_harga,catatan,created_at,updated_at
,(66,2025-11-12,226000,NULL,2025-11-12 05:25:03,2025-11-12 05:25:03
,(67,2025-11-10,430500,NULL,2025-11-12 05:27:04,2025-11-12 05:27:04
,(68,2025-11-13,126000,NULL,2025-11-13 17:40:27,2025-11-13 17:40:27
,(69,2025-11-14,418000,NULL,2025-11-14 05:59:34,2025-11-14 05:59:34
,(70,2025-11-15,428000,NULL,2025-11-15 05:47:17,2025-11-15 05:47:17
,(71,2025-11-16,323500,NULL,2025-11-16 05:53:38,2025-11-16 05:53:38
,(72,2025-11-17,223000,NULL,2025-11-18 04:34:50,2025-11-18 04:34:50
,(73,2025-11-19,247000,NULL,2025-11-19 05:53:38,2025-11-19 05:53:38
,(74,2025-11-20,602000,NULL,2025-11-20 05:45:02,2025-11-20 05:45:02
,(75,2025-11-18,319000,NULL,2025-11-20 05:46:32,2025-11-20 05:46:32
,(76,2025-11-21,204000,NULL,2025-11-21 05:48:02,2025-11-21 05:48:02
,(77,2025-11-22,422000,NULL,2025-11-22 06:00:53,2025-11-22 06:00:53
,(78,2025-11-23,300000,NULL,2025-11-23 05:40:39,2025-11-23 05:40:39
,(79,2025-11-24,309000,NULL,2025-11-24 05:45:45,2025-11-24 05:45:45
,(80,2025-11-25,368500,NULL,2025-11-29 05:37:27,2025-11-29 05:37:27
,(81,2025-11-26,194000,NULL,2025-11-29 05:37:51,2025-11-29 05:37:51
,(82,2025-11-27,0,NULL,2025-11-29 05:38:04,2025-11-29 05:38:04
,(83,2025-11-28,0,NULL,2025-11-29 05:38:13,2025-11-29 05:38:13
,(84,2025-11-29,1028500,NULL,2025-11-29 05:40:25,2025-11-29 05:53:38
,(85,2025-12-01,130000,NULL,2025-12-01 05:49:33,2025-12-01 05:49:33
,(86,2025-11-30,692000,NULL,2025-12-01 05:49:49,2025-12-01 05:49:49
,(87,2025-12-02,404000,NULL,2025-12-03 05:49:56,2025-12-03 05:50:18
,(88,2025-12-03,330000,NULL,2025-12-03 05:51:33,2025-12-03 05:51:33
,(89,2025-12-04,432500,NULL,2025-12-04 05:56:17,2025-12-04 05:56:17
,(90,2025-12-05,522000,NULL,2025-12-05 05:28:46,2025-12-05 05:28:46
,(91,2025-12-06,532500,NULL,2025-12-06 05:51:27,2025-12-06 05:51:27
,(92,2025-12-07,328000,NULL,2025-12-07 05:49:10,2025-12-07 05:49:10
,(93,2025-12-08,223000,NULL,2025-12-08 05:50:06,2025-12-08 05:50:06
,(94,2025-12-09,141000,NULL,2025-12-09 05:05:54,2025-12-09 05:05:54
,(95,2025-12-10,313500,NULL,2025-12-11 02:28:05,2025-12-15 05:51:32
,(96,2025-12-11,274000,NULL,2025-12-11 03:36:43,2025-12-11 03:36:43
,(97,2025-12-15,227500,NULL,2025-12-15 05:49:42,2025-12-15 05:49:42
,(98,2025-12-14,520000,NULL,2025-12-15 05:50:03,2025-12-15 05:50:03
,(99,2025-12-13,195500,NULL,2025-12-15 05:50:18,2025-12-15 05:50:18
,(100,2025-12-12,210500,NULL,2025-12-15 05:53:02,2025-12-15 05:53:02
